Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,5.780000,6.200000,5.750000,6.000000,6.000000,555300
2008-08-11,5.670000,6.060000,5.670000,5.900000,5.900000,406100
2008-08-12,5.870000,5.990000,5.620000,5.800000,5.800000,344500
2008-08-13,5.690000,5.860000,5.310000,5.550000,5.550000,568600
2008-08-14,5.530000,5.790000,5.440000,5.590000,5.590000,390400
2008-08-15,5.560000,5.690000,5.270000,5.470000,5.470000,285400
2008-08-18,5.530000,5.590000,5.300000,5.450000,5.450000,407800
2008-08-19,5.450000,5.690000,5.200000,5.420000,5.420000,493300
2008-08-20,5.440000,5.530000,4.980000,5.010000,5.010000,315200
2008-08-21,4.950000,5.090000,4.900000,4.970000,4.970000,279200
2008-08-22,4.900000,5.350000,4.900000,5.200000,5.200000,275700
2008-08-25,5.180000,5.180000,4.840000,4.880000,4.880000,213600
2008-08-26,4.900000,5.130000,4.770000,4.870000,4.870000,231300
2008-08-27,4.890000,4.990000,4.870000,4.970000,4.970000,124700
2008-08-28,4.940000,5.240000,4.900000,5.080000,5.080000,164300
2008-08-29,5.060000,5.350000,5.060000,5.320000,5.320000,230400
2008-09-02,5.460000,5.690000,5.300000,5.400000,5.400000,187800
2008-09-03,5.400000,5.750000,5.350000,5.600000,5.600000,262400
2008-09-04,5.570000,5.770000,5.480000,5.630000,5.630000,336100
2008-09-05,5.590000,5.760000,5.580000,5.680000,5.680000,259900
2008-09-08,5.780000,5.940000,5.630000,5.770000,5.770000,214600
2008-09-09,5.770000,5.950000,5.500000,5.560000,5.560000,304300
2008-09-10,5.570000,5.760000,5.410000,5.440000,5.440000,387400
2008-09-11,5.370000,5.720000,5.350000,5.570000,5.570000,213700
2008-09-12,5.550000,5.620000,5.340000,5.530000,5.530000,178500
2008-09-15,5.450000,5.620000,4.930000,4.940000,4.940000,228100
2008-09-16,4.750000,4.950000,4.520000,4.760000,4.760000,408000
2008-09-17,4.720000,4.770000,4.190000,4.190000,4.190000,430900
2008-09-18,4.210000,4.740000,4.160000,4.740000,4.740000,719400
2008-09-19,4.580000,6.130000,4.580000,5.060000,5.060000,1097500
