Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,230.899994,235.679993,230.130005,235.300003,234.912384,5775100
2020-01-02,238.750000,239.910004,236.720001,239.910004,239.514771,5938400
2020-01-03,235.100006,237.830002,234.100006,236.070007,235.681122,5134600
2020-01-06,232.320007,237.270004,231.270004,237.059998,236.669479,6565900
2020-01-07,238.199997,241.770004,236.389999,239.929993,239.534729,7871400
2020-01-08,239.759995,242.039993,238.149994,240.380005,239.984009,6927700
2020-01-09,243.850006,245.929993,240.860001,243.020004,242.619659,6377800
2020-01-10,247.330002,248.550003,243.750000,244.320007,243.917511,7907400
2020-01-13,247.660004,252.990005,246.750000,251.979996,251.564880,7996000
2020-01-14,250.259995,251.279999,246.750000,247.279999,246.872635,8977200
2020-01-15,247.789993,248.690002,244.529999,245.570007,245.165436,6577600
2020-01-16,247.720001,249.169998,246.779999,248.929993,248.519913,7104800
2020-01-17,249.699997,250.000000,247.369995,249.279999,248.869354,6344800
2020-01-21,247.809998,249.289993,246.570007,247.940002,247.531555,5447900
2020-01-22,249.759995,253.589996,249.000000,250.110001,249.697983,5981000
2020-01-23,251.720001,253.199997,248.149994,252.860001,252.443451,6112900
2020-01-24,257.500000,259.500000,248.300003,250.479996,250.067352,9337800
2020-01-27,238.240005,242.250000,232.229996,240.199997,239.804306,11763400
2020-01-28,242.850006,249.270004,240.710007,247.970001,247.561493,7774400
2020-01-29,247.389999,248.839996,243.940002,245.539993,245.135498,6471200
2020-01-30,241.610001,246.350006,239.399994,245.809998,245.405060,7262600
