Date,Open,High,Low,Close,Adj Close,Volume
2008-08-08,4.950000,5.120000,4.920000,5.100000,5.100000,436100
2008-08-11,5.150000,5.310000,5.100000,5.200000,5.200000,325800
2008-08-12,5.250000,5.280000,5.020000,5.160000,5.160000,276600
2008-08-13,5.200000,5.240000,5.040000,5.230000,5.230000,260400
2008-08-14,5.230000,5.360000,5.200000,5.330000,5.330000,256500
2008-08-15,5.220000,5.360000,5.150000,5.200000,5.200000,233100
2008-08-18,5.280000,5.380000,5.200000,5.330000,5.330000,408900
2008-08-19,5.360000,5.360000,5.170000,5.220000,5.220000,439400
2008-08-20,5.210000,5.470000,5.210000,5.330000,5.330000,280300
2008-08-21,5.350000,5.360000,5.170000,5.340000,5.340000,140800
2008-08-22,5.390000,5.500000,5.250000,5.390000,5.390000,172400
2008-08-25,5.350000,5.480000,5.200000,5.270000,5.270000,130600
2008-08-26,5.350000,5.350000,5.180000,5.200000,5.200000,195100
2008-08-27,5.250000,5.290000,5.230000,5.280000,5.280000,85400
2008-08-28,5.340000,5.340000,5.240000,5.280000,5.280000,90100
2008-08-29,5.270000,5.360000,5.230000,5.300000,5.300000,131300
2008-09-02,5.350000,5.350000,5.070000,5.120000,5.120000,170700
2008-09-03,5.040000,5.060000,4.930000,4.990000,4.990000,129400
2008-09-04,4.990000,4.990000,4.530000,4.680000,4.680000,334800
2008-09-05,4.700000,4.790000,4.400000,4.440000,4.440000,737300
2008-09-08,4.900000,4.910000,4.260000,4.280000,4.280000,248100
2008-09-09,4.350000,4.420000,3.920000,4.020000,4.020000,365100
2008-09-10,4.110000,4.130000,3.960000,4.030000,4.030000,290700
2008-09-11,4.030000,4.030000,3.910000,3.930000,3.930000,470700
2008-09-12,3.950000,4.290000,3.950000,4.200000,4.200000,1195200
2008-09-15,4.110000,4.250000,3.990000,4.020000,4.020000,832100
2008-09-16,4.030000,4.080000,3.980000,4.080000,4.080000,484000
2008-09-17,3.990000,4.080000,3.970000,4.000000,4.000000,319100
2008-09-18,3.980000,4.100000,3.650000,4.080000,4.080000,371600
2008-09-19,4.230000,4.420000,4.100000,4.100000,4.100000,332200
2008-09-22,4.160000,4.220000,3.990000,4.020000,4.020000,181800
2008-09-23,3.990000,4.120000,3.980000,4.000000,4.000000,108900
2008-09-24,4.010000,4.020000,3.900000,3.900000,3.900000,81700
2008-09-25,3.990000,4.000000,3.890000,3.970000,3.970000,140400
2008-09-26,3.950000,3.950000,3.640000,3.710000,3.710000,415000
2008-09-29,3.720000,3.760000,3.400000,3.400000,3.400000,286900
2008-09-30,3.510000,3.650000,3.320000,3.630000,3.630000,356800
2008-10-01,3.680000,3.770000,3.380000,3.560000,3.560000,143500
2008-10-02,3.600000,3.740000,3.260000,3.350000,3.350000,367500
2008-10-03,3.380000,3.430000,3.100000,3.100000,3.100000,423600
2008-10-06,3.130000,3.350000,2.900000,3.030000,3.030000,271600
2008-10-07,3.040000,3.160000,2.900000,2.930000,2.930000,145100
2008-10-08,2.980000,3.030000,2.950000,3.020000,3.020000,335400
2008-10-09,3.030000,3.450000,2.610000,2.800000,2.800000,324300
2008-10-10,2.670000,3.000000,2.620000,2.890000,2.890000,490600
2008-10-13,3.590000,3.590000,3.200000,3.530000,3.530000,221400
2008-10-14,3.530000,3.600000,3.010000,3.250000,3.250000,571800
2008-10-15,3.270000,3.270000,2.980000,3.050000,3.050000,151900
2008-10-16,3.070000,3.350000,2.900000,3.140000,3.140000,348400
2008-10-17,2.960000,3.250000,2.960000,3.140000,3.140000,241700
2008-10-20,3.240000,3.420000,3.210000,3.330000,3.330000,38000
2008-10-21,3.300000,3.430000,3.030000,3.190000,3.190000,176100
2008-10-22,3.110000,3.450000,2.950000,3.070000,3.070000,147700
2008-10-23,3.090000,3.150000,2.800000,2.900000,2.900000,182600
2008-10-24,2.770000,2.840000,2.570000,2.750000,2.750000,375200
2008-10-27,2.730000,2.800000,2.540000,2.570000,2.570000,106200
2008-10-28,2.590000,2.850000,2.200000,2.400000,2.400000,608900
2008-10-29,2.420000,2.620000,2.420000,2.590000,2.590000,360300
2008-10-30,2.690000,3.070000,2.680000,2.990000,2.990000,1481400
2008-10-31,2.980000,3.150000,2.930000,3.110000,3.110000,530500
2008-11-03,3.190000,3.190000,3.060000,3.090000,3.090000,288000
2008-11-04,3.100000,3.160000,3.000000,3.090000,3.090000,393000
2008-11-05,3.100000,3.150000,2.940000,2.940000,2.940000,90500
2008-11-06,2.970000,2.990000,2.450000,2.640000,2.640000,594300
2008-11-07,2.650000,2.840000,2.640000,2.650000,2.650000,481600
2008-11-10,2.770000,2.790000,2.410000,2.500000,2.500000,350700
2008-11-11,2.550000,2.560000,2.320000,2.370000,2.370000,113200
2008-11-12,2.350000,2.350000,2.140000,2.180000,2.180000,741400
2008-11-13,2.240000,2.710000,2.010000,2.340000,2.340000,1026200
2008-11-14,2.400000,2.400000,2.230000,2.330000,2.330000,212800
2008-11-17,2.210000,2.430000,2.200000,2.260000,2.260000,220800
2008-11-18,2.270000,2.300000,2.050000,2.130000,2.130000,160800
2008-11-19,2.130000,2.220000,2.100000,2.110000,2.110000,64800
2008-11-20,2.110000,2.120000,1.960000,1.980000,1.980000,189500
2008-11-21,2.060000,2.110000,1.870000,2.100000,2.100000,383000
2008-11-24,2.060000,2.160000,2.000000,2.050000,2.050000,296400
2008-11-25,2.120000,2.120000,2.000000,2.000000,2.000000,73200
2008-11-26,1.950000,2.420000,1.950000,2.410000,2.410000,376600
2008-11-28,2.400000,2.610000,2.290000,2.610000,2.610000,82100
2008-12-01,2.580000,2.650000,2.110000,2.290000,2.290000,97800
2008-12-02,2.490000,2.490000,2.150000,2.200000,2.200000,71800
2008-12-03,2.300000,2.430000,2.060000,2.350000,2.350000,119100
2008-12-04,2.240000,2.420000,2.180000,2.200000,2.200000,48900
2008-12-05,2.300000,2.360000,2.160000,2.350000,2.350000,113400
2008-12-08,2.430000,2.470000,2.310000,2.310000,2.310000,189600
2008-12-09,2.300000,2.490000,2.210000,2.280000,2.280000,207000
2008-12-10,2.290000,2.460000,2.290000,2.450000,2.450000,105800
2008-12-11,2.450000,2.450000,2.270000,2.360000,2.360000,49400
2008-12-12,2.220000,2.570000,2.220000,2.570000,2.570000,132000
2008-12-15,2.300000,2.540000,2.300000,2.420000,2.420000,113400
2008-12-16,2.450000,2.450000,2.230000,2.300000,2.300000,276800
2008-12-17,2.300000,2.480000,2.080000,2.190000,2.190000,349400
2008-12-18,2.120000,2.260000,1.950000,2.050000,2.050000,514800
2008-12-19,2.050000,2.090000,1.960000,2.010000,2.010000,204700
2008-12-22,1.980000,2.080000,1.770000,2.000000,2.000000,1238900
2008-12-23,2.020000,2.070000,1.780000,1.950000,1.950000,1226300
2008-12-24,1.880000,2.050000,1.880000,1.940000,1.940000,68100
2008-12-26,1.920000,2.100000,1.880000,1.900000,1.900000,627400
2008-12-29,1.900000,2.000000,1.830000,1.830000,1.830000,46600
2008-12-30,1.850000,1.970000,1.800000,1.970000,1.970000,195000
