21Vianet ,CELH ,Nautilus ,Overstock ,Widepoint 
6.68,4.69,1.69,6.75,4
4.2341413,4.3692636,1.9660524,3.8275974,2.9111953
4.752312,4.239617,2.000238,3.8401976,2.9252968
4.8483887,4.1308975,2.0687673,3.957552,2.943291
4.9190803,3.9799826,2.1586077,4.163969,2.9384644
5.0061917,4.24327,2.2228365,4.3472285,2.9638891
5.00575,4.310508,2.3317323,4.443476,2.9829998
5.102983,4.335206,2.3913903,4.5213203,2.981001
5.543754,4.3924823,2.456459,4.584711,2.9528744
5.304506,4.4299818,2.5304282,4.7308054,3.0293639
5.1787224,4.5667663,2.566548,4.925879,3.115881
5.0605206,4.8891325,2.9156814,5.0633535,3.11765
5.236874,5.392091,3.006527,5.1288524,3.1102133
5.764114,5.534269,3.0374634,5.2256794,3.1034334
6.0698366,5.4305477,3.071845,5.3520737,3.2249498
6.4161916,5.6969285,3.129417,5.3719826,3.360772
6.261215,5.591559,3.1585543,5.2836432,3.4976144
6.0714707,5.345384,3.1436436,5.1611395,3.541482
5.9651318,5.09658,3.0768619,5.092633,3.529086
5.91167,5.041468,2.972117,5.1001973,3.494904
5.6668825,4.8990464,2.9898777,5.1147633,3.4141414
5.452518,5.0550885,3.0379608,5.083392,3.3692527
5.304506,5.260523,3.047829,5.022731,3.33261
6.2647142,5.1943836,2.617141,4.947522,3.322507
7.0255404,5.383974,2.6791675,4.9271436,3.306518
7.695,5.54338,2.9257305,4.9659004,3.2948472
8.099062,5.5466967,2.9507096,5.0330677,3.3718665
8.353848,5.4654946,3.0468724,5.0692053,3.3891406
8.754055,5.5826225,3.1879768,5.1350365,3.396749
8.862083,5.8463435,3.2521913,5.286693,3.3882606
8.666072,5.8465533,3.240787,5.417931,3.3939714
9.003292,5.863022,3.1832132,5.535875,3.3854265
9.360525,6.2100725,3.0005505,5.5876274,3.4618912
9.67264,5.8417387,2.9490466,5.626335,3.5798528
9.659756,5.495076,2.9209886,5.7071,3.695852
9.401974,5.8867307,2.9033823,5.804484,3.6666822
9.755708,5.1077967,2.9059503,5.8785872,3.6035721
9.983758,5.2257795,2.7891064,5.6950064,3.5050693
